roi1_cg,roi2_cg
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
-0.25,-0.25
